x-axis,1,2,EXT
second,Volt,Volt,
+59.48000E-03,+7.81502937E+00,+8.28095195E+00,1
+59.56000E-03,+7.80454158E+00,+8.24599265E+00,1
+59.64000E-03,+7.82909592E+00,+8.19847432E+00,1
+59.72000E-03,+7.80166856E+00,+8.15755043E+00,1
+59.80000E-03,+7.80454158E+00,+8.15755043E+00,1
+59.88000E-03,+7.82443352E+00,+8.09124397E+00,1
+59.96000E-03,+7.82633249E+00,+8.15755043E+00,1
+60.04000E-03,+7.81495001E+00,+8.10380299E+00,1
+60.12000E-03,+7.80454158E+00,+8.15430360E+00,1
+60.20000E-03,+7.83107425E+00,+8.02791979E+00,1
+60.28000E-03,+7.82828059E+00,+7.89222379E+00,1
+60.36000E-03,+7.82171922E+00,+7.92085319E+00,1
+60.44000E-03,+7.81110295E+00,+7.89222379E+00,1
+60.52000E-03,+7.80936270E+00,+7.81985196E+00,1
+60.60000E-03,+7.81487065E+00,+7.89222379E+00,1
+60.68000E-03,+7.80559499E+00,+7.89222379E+00,1
+60.76000E-03,+7.83107425E+00,+7.76232862E+00,1
+60.84000E-03,+7.83107425E+00,+7.63594481E+00,1
+60.92000E-03,+7.83107425E+00,+7.71533936E+00,1
+61.00000E-03,+7.83107425E+00,+7.62689715E+00,1
+61.08000E-03,+7.82127330E+00,+7.62689715E+00,1
+61.16000E-03,+7.83710749E+00,+7.62689715E+00,1
+61.24000E-03,+7.80454158E+00,+7.62312126E+00,1
+61.32000E-03,+7.80454158E+00,+7.54346217E+00,1
+61.40000E-03,+7.83107425E+00,+7.54723806E+00,1
+61.48000E-03,+7.84011183E+00,+7.50929647E+00,1
+61.56000E-03,+7.83107425E+00,+7.36157051E+00,1
+61.64000E-03,+7.81450125E+00,+7.43341327E+00,1
+61.72000E-03,+7.84124460E+00,+7.45001272E+00,1
+61.80000E-03,+7.83107425E+00,+7.36561093E+00,1
+61.88000E-03,+7.85760691E+00,+7.36157051E+00,1
+61.96000E-03,+7.85505133E+00,+7.35305191E+00,1
+62.04000E-03,+7.83107425E+00,+7.27312829E+00,1
+62.12000E-03,+7.80454158E+00,+7.20576370E+00,1
+62.20000E-03,+7.83613344E+00,+7.27312829E+00,1
+62.28000E-03,+7.85760691E+00,+7.23949166E+00,1
